variant,reasoning_combo,F0.5_mean,F0.5_std,ROC-AUC_mean,ROC-AUC_std,PR-AUC_mean,PR-AUC_std,Prec_mean,Prec_std,Rec_mean,Rec_std,Acc_mean,Acc_std,threshold_tuning,cv_folds,dataset_size
hq_no_rule,A,0.26765582968962204,0.029934935705504002,0.7055020425390796,0.041086073433737616,0.2202351153762796,0.02802010078530369,0.29062134362626973,0.03495789355316369,0.20493827160493824,0.02542130899009136,0.8831111111111112,0.005979388465366069,oof,5,4500
hq_no_rule,B,0.21886194470618517,0.025879212663624824,0.6701126034459368,0.04575865047212429,0.18285194780401187,0.02923743308461314,0.222944347892446,0.0278472445999693,0.20493827160493824,0.022897823445668406,0.8637777777777778,0.007083278866892975,oof,5,4500
hq_no_rule,C,0.2248389964762584,0.028310210297212965,0.675780460965646,0.050362299347872404,0.18314300554212365,0.03277918514254425,0.22327345874983232,0.028115145026961337,0.23209876543209873,0.03257013816857511,0.8582222222222222,0.006069555681665629,oof,5,4500
hq_no_rule,D,0.2279784869912206,0.02638784742781378,0.6723616575468427,0.04577363782183118,0.1832311539795453,0.029303717066185425,0.2311988231230305,0.027924168349031744,0.21728395061728395,0.026593406454985206,0.8642222222222223,0.007041324230113275,oof,5,4500
hq_no_rule,E,0.2249360694477735,0.021413351033761484,0.6849470145766443,0.050441912261544944,0.18998973250712478,0.03511108812980077,0.21865996545463381,0.021838920767154105,0.2592592592592592,0.03744629848914346,0.8493333333333333,0.01197940619728315,oof,5,4500
hq_no_rule,F,0.2417544234112062,0.020397997672151228,0.694722561389228,0.038758689785117345,0.19708969584702635,0.0203765991351511,0.2420956234262041,0.026091983126420193,0.24444444444444446,0.021240309301339817,0.8619999999999999,0.010735886514827694,oof,5,4500
hq_no_rule,A+B,0.2689359553809131,0.033174799268026106,0.7063416693046322,0.04260567607338352,0.22104434538196896,0.027845741639920155,0.2778390096229496,0.03702283312237369,0.23950617283950618,0.026593406454985206,0.8751111111111112,0.007221367470787542,oof,5,4500
hq_no_rule,A+C,0.264590846784912,0.0356134099922438,0.7113990262138409,0.04598643287101672,0.21827224230890194,0.02829048912282898,0.26209888805589276,0.03479864475913123,0.2765432098765432,0.045928580833921664,0.8648888888888889,0.007187094057242744,oof,5,4500
hq_no_rule,A+D,0.26671204229270906,0.02615482300775666,0.7066506881321697,0.04241568381468605,0.21969559767032837,0.027234126704745645,0.26648819712115795,0.027258228152837287,0.2691358024691358,0.03064116949627372,0.8673333333333332,0.00657717714975498,oof,5,4500
hq_no_rule,A+E,0.27280234113092366,0.04289728985767731,0.7133586578031021,0.044739821678338336,0.22655678698923176,0.03234481464274761,0.2801904761904762,0.04731507744142432,0.24938271604938272,0.040118708171041774,0.8742222222222221,0.009010282192317032,oof,5,4500
hq_no_rule,B+C,0.22624723359064652,0.028312380176844846,0.6722817648743573,0.04701404037978602,0.18296558389114506,0.03179047751945527,0.2312125835512932,0.032377630576927045,0.20987654320987653,0.020658272260100627,0.8653333333333334,0.008385761006272531,oof,5,4500
hq_no_rule,B+D,0.22542813166399353,0.03130770566234785,0.6713471713471714,0.042913799300344,0.18319117746166308,0.028854857253946438,0.2307346966413868,0.03270367540242222,0.2074074074074074,0.029629629629629627,0.8662222222222222,0.006942444156361469,oof,5,4500
hq_no_rule,B+E,0.2193010649859061,0.033878858818896525,0.68321801655135,0.05012594346399915,0.18956249775089265,0.032940174904448324,0.195709463879439,0.030074703868128477,0.42469135802469127,0.0718174793691308,0.7915555555555556,0.011708390997617339,oof,5,4500
hq_no_rule,C+D,0.22687352014589068,0.021805085083471343,0.6752181974404197,0.04854036622395285,0.18312617078132395,0.031661987315842965,0.2297907328993653,0.024447925513664547,0.21728395061728395,0.02005935408552089,0.8635555555555555,0.007111111111111103,oof,5,4500
hq_no_rule,C+E,0.2234193619596795,0.031782680259154095,0.6837214911288985,0.053140426173499435,0.1885343502220778,0.03458325085075713,0.23216076313797754,0.0375344684434312,0.19753086419753085,0.02589651476963337,0.8677777777777779,0.010610965676722947,oof,5,4500
hq_no_rule,C+F,0.24091807370243687,0.015426443270604709,0.6953164805016657,0.04144782346782861,0.19594608708942518,0.020995561019087464,0.23706073044631984,0.020796221171600644,0.2617283950617284,0.018144368465060578,0.8566666666666667,0.010886621079036325,oof,5,4500
hq_no_rule,D+E,0.2277092340446015,0.034307881616895804,0.6836129576870317,0.048563844825266794,0.19073447102212224,0.03414658389882773,0.24376809971637559,0.041442833813780125,0.18271604938271607,0.023939159789710264,0.8744444444444446,0.00910840068085298,oof,5,4500
hq_no_rule,D+F,0.23992860903078186,0.01964923595277913,0.6939522754337568,0.036826367353027106,0.19522224118361153,0.019775673059462175,0.23986157625952287,0.0253678554870405,0.2444444444444444,0.021240309301339817,0.861111111111111,0.011177578968852716,oof,5,4500
hq_no_rule,E+F,0.24724214802613464,0.024000922542758485,0.7042388338684635,0.04240945939417727,0.19989847344582334,0.024054583331114085,0.2688023088023088,0.03414669691106746,0.19259259259259257,0.026593406454985206,0.8791111111111111,0.009064923579720522,oof,5,4500
hq_no_rule,A+B+C,0.2649168111110019,0.028817312865998545,0.7082199008124934,0.04547346769037012,0.2172713873957782,0.02936356529296291,0.2673680559178504,0.03153933904481558,0.2567901234567901,0.025180343277001405,0.8693333333333333,0.007489910909490073,oof,5,4500
hq_no_rule,A+B+D,0.26990238552988843,0.03385222108758121,0.7048689307948567,0.042005593409711155,0.2179088860311767,0.02617317875942949,0.27433591242789623,0.036036035390815256,0.254320987654321,0.029834681416282892,0.8720000000000001,0.007483314773547875,oof,5,4500
hq_no_rule,A+B+E,0.27852893972969694,0.024075446291475303,0.7132682132682133,0.04559310907575721,0.22582044404685392,0.0316584606627627,0.31937474989996,0.03156007299103799,0.18518518518518517,0.015616185976140144,0.8908888888888888,0.004410985164728696,oof,5,4500
hq_no_rule,A+C+D,0.26874947121508663,0.03593551492508337,0.7089600385896682,0.045848617549916586,0.2178865454314697,0.02972437674261843,0.2751437383219648,0.03839611337335677,0.24691358024691362,0.03219359212445753,0.8733333333333334,0.007698003589195009,oof,5,4500
hq_no_rule,A+C+E,0.27151728387746665,0.026357872356960403,0.7137551063476989,0.04653654227724826,0.2242748298048869,0.032337050618760736,0.2939817690651951,0.030401606954230324,0.2098765432098765,0.02704802753111931,0.8833333333333334,0.00506744633377395,oof,5,4500
hq_no_rule,A+D+E,0.2751851353746456,0.0435104356511739,0.7136330062255988,0.04439589315245856,0.22533795247353733,0.03055739318564497,0.2800928157072735,0.046551767246426685,0.25925925925925924,0.04131654452020126,0.8728888888888889,0.009151671236432901,oof,5,4500
hq_no_rule,B+C+D,0.22278573110708474,0.03476958183331791,0.6742172779209816,0.046032804740228035,0.18210783867728658,0.030183535898840794,0.21810238780827018,0.03514456638072889,0.24444444444444446,0.03439108216588671,0.8526666666666667,0.009285592184789396,oof,5,4500
hq_no_rule,B+C+E,0.22343687077881472,0.02799211062767106,0.6822939748865674,0.049673643385394387,0.18786516660065544,0.033512295309104136,0.23738095176257623,0.033603452943970435,0.18271604938271607,0.019753086419753086,0.8728888888888889,0.007938031599774102,oof,5,4500
hq_no_rule,B+D+E,0.22244545115903208,0.029726612205162546,0.6838013838013838,0.04800598375176459,0.18847194611306545,0.031329437973787025,0.23802630225750634,0.03609129206058909,0.17777777777777776,0.01847732042851329,0.874,0.008030804888707842,oof,5,4500
hq_no_rule,C+D+E,0.22192963096673268,0.024754390521898924,0.6829165347683868,0.051039410290494025,0.18767371055554802,0.03452960859364359,0.21159555098529412,0.02505941116876887,0.27901234567901234,0.035438765665203265,0.8408888888888889,0.011995884067791805,oof,5,4500
hq_no_rule,C+D+F,0.2407968165670112,0.02744409579412941,0.6947496947496947,0.039378976466271,0.19476973028602423,0.020373401212021844,0.2457929566838109,0.03292237093487481,0.22716049382716047,0.030839496288387152,0.8666666666666668,0.010540925533894616,oof,5,4500
hq_no_rule,C+E+F,0.24412879915578936,0.02553227209166157,0.7030509956435883,0.043410849303198676,0.19867353446558483,0.02527478104022913,0.26785244606054043,0.0333353368725151,0.1876543209876543,0.0352663132273721,0.8797777777777777,0.009119237568303656,oof,5,4500
hq_no_rule,D+E+F,0.2505662289792917,0.02288387986745409,0.7018510981473944,0.03995847768550844,0.19778677976631226,0.022597120238026125,0.26418581418581416,0.028206700772070832,0.2123456790123457,0.028582313340222782,0.8751111111111112,0.00890553995978397,oof,5,4500
hq_no_rule,A+B+C+D,0.26539355993396097,0.028308251876536124,0.709954928473447,0.0458362646591371,0.21989640665130059,0.028849111871980092,0.27329901198198703,0.03202823981918974,0.23950617283950618,0.025421308990091356,0.8737777777777778,0.007255478985473153,oof,5,4500
hq_no_rule,A+B+C+E,0.27666620532406483,0.04920531215080401,0.7138319842023546,0.04794442964806025,0.22644235121614167,0.031064885534892957,0.2736767428388075,0.050716848111527005,0.291358024691358,0.0497517078508886,0.866,0.011495570805668952,oof,5,4500
hq_no_rule,A+B+D+E,0.27315251816181724,0.038725667994526015,0.7135621580066024,0.0450548545013827,0.2249530480375018,0.030717205299535092,0.28207081300130915,0.042777959309422575,0.24444444444444438,0.03439108216588671,0.8755555555555554,0.008043093809268374,oof,5,4500
hq_no_rule,A+C+D+E,0.2796151194260773,0.0450921466921392,0.7137551063476989,0.04741345988020852,0.22662060865232592,0.03153014603138889,0.2843165693640377,0.04787764443096977,0.2641975308641975,0.04319223625811334,0.8735555555555556,0.008927693078489165,oof,5,4500
hq_no_rule,B+C+D+E,0.2227153227479824,0.03479317211042826,0.6839732284176729,0.05092031049302226,0.18900035484914693,0.03409393533076758,0.2297812936261776,0.039699972294197035,0.2,0.023939159789710264,0.8666666666666666,0.009711899281516525,oof,5,4500
hq_no_rule,C+D+E+F,0.2510841291483219,0.032399612344203035,0.7012270308566604,0.04335960054405075,0.19869832009201482,0.02530569788188492,0.2612784419847361,0.042850369906222464,0.22469135802469134,0.02858231334022278,0.8711111111111111,0.012551129996838169,oof,5,4500
hq_no_rule,A+B+C+D+E,0.27624253563666473,0.028161931558608532,0.7143384735977328,0.047652715975004256,0.22480003902213858,0.03269773779891819,0.29086473896256504,0.03131714029111727,0.23209876543209879,0.03064116949627372,0.8797777777777778,0.005595412583117417,oof,5,4500
full_mirror_rule,A,0.2721391786570728,0.027415887451804868,0.7044272599828155,0.0402546928039061,0.2022309937785216,0.028831835268026507,0.2803320377233421,0.03139188400128461,0.2444444444444444,0.018144368465060578,0.8751111111111112,0.006539528430916538,oof,5,4500
full_mirror_rule,B,0.2224811851579375,0.061933469292874875,0.6713516935739158,0.045197112747441995,0.17882242617168148,0.026332230545393055,0.2869871794871795,0.08251860109470603,0.11851851851851851,0.03367452270860705,0.8939999999999999,0.006308919807368184,oof,5,4500
full_mirror_rule,C,0.22531274066368806,0.023521487441431402,0.6773195254676736,0.04978613026394732,0.18032003603377925,0.028699590456851436,0.2196357506156072,0.02348186484547889,0.2518518518518518,0.026593406454985206,0.852,0.006061414087549258,oof,5,4500
full_mirror_rule,D,0.228435356323993,0.026284079915126254,0.6735751217232699,0.04548675416033635,0.1800953414006728,0.026521501053510674,0.22595139778089748,0.027494369641116023,0.23950617283950618,0.022897823445668406,0.8573333333333333,0.0071870940572427554,oof,5,4500
full_mirror_rule,E,0.24036636123939256,0.048370554977352445,0.686073049036012,0.04867318403045493,0.18502995999772318,0.02877778988166789,0.2856048906048906,0.06301512899991235,0.14814814814814814,0.02704802753111931,0.8895555555555555,0.006386714605866642,oof,5,4500
full_mirror_rule,F,0.2526829902519565,0.030309700990425743,0.6952923619590287,0.04025430557136468,0.19309141783411043,0.02375278823946401,0.2708397457343593,0.041250130430542487,0.20246913580246914,0.016746493785494487,0.8779999999999999,0.009037644181183446,oof,5,4500
full_mirror_rule,A+B,0.27396115105235275,0.027903548796695325,0.7056738871553687,0.04154203233507406,0.20210428952706283,0.02813837861348566,0.2773813375041071,0.02961224938027417,0.26172839506172835,0.025180343277001405,0.8720000000000001,0.005937950762616591,oof,5,4500
full_mirror_rule,A+C,0.26779740836576116,0.027695757298907712,0.7107644070607033,0.0453169936508404,0.20281018654239844,0.030379378765852876,0.2593477652672864,0.026805588339453457,0.3086419753086419,0.03578117715108503,0.8584444444444446,0.00626966043540706,oof,5,4500
full_mirror_rule,A+D,0.2700398907460926,0.025816850194433503,0.7059678318937579,0.04160327644492495,0.20224337294087186,0.028258566188384016,0.2730589910001674,0.026786976649428765,0.2592592592592592,0.02589651476963337,0.8711111111111112,0.005397759022884913,oof,5,4500
full_mirror_rule,A+E,0.27682305231734483,0.029039161996484607,0.7127722757352386,0.04321204962373814,0.20629180395070548,0.03168775281034116,0.2919121296161144,0.03152326614827224,0.22962962962962957,0.022897823445668403,0.8804444444444446,0.004848316495393645,oof,5,4500
full_mirror_rule,B+C,0.22912514742761586,0.06115845231573216,0.6735856735856736,0.04607222645106482,0.17944297978211998,0.026558671632785805,0.290203703826141,0.08369428904377663,0.1259259259259259,0.03162036660460665,0.8931111111111111,0.0071457489736948855,oof,5,4500
full_mirror_rule,B+D,0.22846326862240182,0.05754760951238981,0.6724460724460724,0.042375424945358495,0.1791063241177743,0.025666798823174287,0.28913763066202086,0.07651059202256705,0.1259259259259259,0.03162036660460665,0.8931111111111111,0.006718318425702654,oof,5,4500
full_mirror_rule,B+E,0.23716799953991896,0.04680846054119178,0.6843561102820361,0.04865624269714932,0.18431643032611006,0.027719243762053786,0.27999904800761594,0.06006447420644497,0.14814814814814814,0.02704802753111931,0.8886666666666667,0.006261779023824595,oof,5,4500
full_mirror_rule,C+D,0.22688473634199502,0.022221298559265332,0.6767210841284914,0.04782638770053812,0.18078779850589846,0.027511813262302162,0.22464929171814757,0.023604515961508123,0.23703703703703702,0.019753086419753086,0.8573333333333334,0.006834913999657654,oof,5,4500
full_mirror_rule,C+E,0.23099692990978035,0.043579907322147046,0.6855092781018707,0.05135170878597227,0.18522089954652382,0.02918590113035607,0.2674085819434657,0.05148509796512058,0.15061728395061727,0.029629629629629627,0.8862222222222222,0.006190394789859586,oof,5,4500
full_mirror_rule,C+F,0.24933219438140047,0.03796313194202912,0.6962586110734259,0.042605735379458595,0.19242116197359493,0.023598147458974372,0.3124175162654425,0.05897730421129055,0.14074074074074075,0.02005935408552089,0.8937777777777779,0.007323225357015146,oof,5,4500
full_mirror_rule,D+E,0.23516270295180108,0.03802106571705297,0.6848686293130738,0.04690080379539407,0.18546998752197488,0.028125547485623674,0.2704386724386724,0.0464306559190141,0.15555555555555553,0.025421308990091356,0.8859999999999999,0.005515410509329262,oof,5,4500
full_mirror_rule,D+F,0.2529884930986943,0.03431669544876092,0.6946893983931021,0.03819888076938008,0.19200696117932228,0.022912138783319137,0.27560458075123095,0.04534030455536412,0.1925925925925926,0.014814814814814814,0.8806666666666667,0.008849914556328855,oof,5,4500
full_mirror_rule,E+F,0.25428124211780156,0.032379647546640834,0.7048794826572604,0.042794428211919214,0.19697503474421477,0.025205205875489873,0.27865548157274234,0.04053688333208732,0.19012345679012346,0.02152542688168234,0.8822222222222222,0.007062332703142528,oof,5,4500
full_mirror_rule,A+B+C,0.26754903449218526,0.03186673059832751,0.7080375043338006,0.0448505986294704,0.2021636103131375,0.030431106795656825,0.26282187516831934,0.032075606385388124,0.28888888888888886,0.03275678805289284,0.8628888888888889,0.007323225357015167,oof,5,4500
full_mirror_rule,A+B+D,0.2690789352258441,0.03070743662436029,0.7042584301843561,0.04133159569364015,0.20137341871323766,0.028144105808768523,0.26566005497095996,0.031411572125687647,0.28395061728395066,0.02815247963207748,0.8646666666666667,0.0071111111111111375,oof,5,4500
