family_id,family_label,family_display_label,route_group,evaluator_model,outer_f0_5_mean,outer_f0_5_std,outer_precision_mean,outer_recall_mean,outer_pr_auc_mean,outer_precision_at_10_mean,threshold_mean,threshold_std,selected_feature_count_mean,selected_feature_count_std,selected_hq_feature_count_mean,selected_reasoning_feature_count_mean,mean_reasoning_frequency,max_reasoning_frequency,reasoning_jaccard_mean,mean_reasoning_sign_consistency,min_reasoning_sign_consistency,sign_stable_reasoning_count_mean,reasoning_features_above_60_mean,reasoning_features_above_80_mean,reasoning_features_above_90_mean
HQ,HQ,HQ,hq_only,logistic,0.2118685559192384,0.04250254573856257,0.24165085707645712,0.15808080808080807,0.16822610487929288,0.2145124716553288,0.23400000000000004,0.047017727153347885,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HQ,HQ,HQ,hq_only,xgb1,0.20216144695929186,0.03976880774854413,0.22383971359839663,0.18232323232323233,0.17032130477488758,0.21133786848072558,0.7073333333333334,0.07775745766305778,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reasoning_A,A,HQ + A,augmentation_track,logistic,0.3037084843537007,0.02887037222333725,0.31472674429589614,0.27121212121212124,0.2252783954195035,0.29659863945578224,0.26866666666666666,0.022764494771951825,32.06666666666667,0.5734883511361752,29.0,3.066666666666667,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_A,A,HQ + A,augmentation_track,xgb1,0.2926457455176446,0.027030622430118834,0.30101916218966956,0.2727272727272727,0.23074031205990686,0.2993197278911565,0.7280000000000001,0.03208322510804259,32.06666666666667,0.5734883511361752,29.0,3.066666666666667,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_A,A,HQ + A,competition_track,logistic,0.2996570054001585,0.02914042852326717,0.3098539469621121,0.2747474747474748,0.2253604167603346,0.29614512471655324,0.2653333333333334,0.034807406619217635,30.6,0.9521904571390466,27.533333333333335,3.066666666666667,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_A,A,HQ + A,competition_track,xgb1,0.2921626067647072,0.03128610459876134,0.2994383123964059,0.2777777777777778,0.22982727391381547,0.2975056689342404,0.7220000000000002,0.036551333764994164,30.6,0.9521904571390466,27.533333333333335,3.066666666666667,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_A,A,HQ + A,raw_family,logistic,0.3075255441679558,0.026467525406911545,0.3168423478453847,0.28181818181818186,0.22678446598407523,0.3002267573696145,0.2633333333333334,0.02936362072739366,34.0,0.0,29.0,5.0,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_A,A,HQ + A,raw_family,xgb1,0.29608891751003963,0.028917857788689404,0.29756616318131907,0.29898989898989903,0.23332341808886153,0.3020408163265307,0.7113333333333336,0.03242769735204085,34.0,0.0,29.0,5.0,0.9734666666666668,1.0,0.9607952861952861,0.8960320747457463,0.6838563940243818,3.066666666666667,5.0,5.0,4.933333333333334
reasoning_F,F,HQ + F,augmentation_track,logistic,0.23301151956133428,0.041465502787879804,0.25516717936679195,0.1853535353535353,0.1781439512678777,0.23718820861678003,0.24133333333333337,0.06520395352703358,32.2,0.9092121131323904,29.0,3.2,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
reasoning_F,F,HQ + F,augmentation_track,xgb1,0.20335936944016605,0.03973974788381518,0.21407813013906643,0.21414141414141416,0.17295763987812365,0.2167800453514739,0.6853333333333337,0.08444853791247992,32.2,0.9092121131323904,29.0,3.2,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
reasoning_F,F,HQ + F,competition_track,logistic,0.23295116107749633,0.04434522658704592,0.2545843663871065,0.18535353535353533,0.17829084111773674,0.2380952380952381,0.24066666666666672,0.06506065546003122,30.733333333333334,1.1234866364235143,27.533333333333335,3.2,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
reasoning_F,F,HQ + F,competition_track,xgb1,0.20434529756834735,0.040391338352290904,0.22197477331968685,0.2005050505050505,0.17277514388700474,0.21768707482993194,0.6986666666666669,0.08830754340497886,30.733333333333334,1.1234866364235143,27.533333333333335,3.2,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
reasoning_F,F,HQ + F,raw_family,logistic,0.22850852588210746,0.04208038497354326,0.24822319985761185,0.18636363636363637,0.1787911475332386,0.23718820861678003,0.24333333333333343,0.07426678635537932,35.0,0.0,29.0,6.0,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
reasoning_F,F,HQ + F,raw_family,xgb1,0.20088353907432085,0.036573121426991415,0.22530884922545708,0.17626262626262623,0.17313807156811614,0.22131519274376418,0.7173333333333335,0.0852030255070532,35.0,0.0,29.0,6.0,0.8937777777777778,1.0,0.8300056116722784,0.8552030112400347,0.6095012916732512,3.2666666666666666,6.0,4.933333333333334,3.2
