family_id,family_label,family_display_label,route_group,evaluator_model,outer_f0_5_mean,outer_f0_5_std,outer_precision_mean,outer_recall_mean,outer_pr_auc_mean,outer_precision_at_10_mean,threshold_mean,threshold_std,selected_feature_count_mean,selected_feature_count_std,selected_hq_feature_count_mean,selected_reasoning_feature_count_mean,mean_reasoning_frequency,max_reasoning_frequency,reasoning_jaccard_mean,mean_reasoning_sign_consistency,min_reasoning_sign_consistency,sign_stable_reasoning_count_mean,reasoning_features_above_60_mean,reasoning_features_above_80_mean,reasoning_features_above_90_mean
HQ,HQ,HQ,hq_only,logistic,0.21003643623687132,0.049484457270566794,0.23877561052717716,0.1590909090909091,0.16677968260062614,0.21164021164021166,0.2366666666666667,0.05163977794943223,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HQ,HQ,HQ,hq_only,xgb1,0.19271075064226212,0.04176306642137931,0.2190467695022543,0.17508417508417506,0.1708568580402823,0.21541950113378683,0.717777777777778,0.09210836344916759,29.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reasoning_A,A,HQ + A,augmentation_track,logistic,0.2921913733851537,0.03985699147310524,0.3105637300059367,0.2457912457912458,0.22543725010767007,0.29856386999244144,0.28666666666666674,0.03431876713662333,32.22222222222222,0.6285393610547089,29.0,3.2222222222222223,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_A,A,HQ + A,augmentation_track,xgb1,0.294370959505802,0.03031220098788933,0.304318620987404,0.2676767676767677,0.23059438074724847,0.29856386999244144,0.7333333333333335,0.026246692913372727,32.22222222222222,0.6285393610547089,29.0,3.2222222222222223,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_A,A,HQ + A,competition_track,logistic,0.3018241952922388,0.031088674949007418,0.30962076617272355,0.28030303030303033,0.22536157987205607,0.2978080120937264,0.25777777777777783,0.02439388711122239,30.333333333333332,1.0540925533894598,27.11111111111111,3.2222222222222223,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_A,A,HQ + A,competition_track,xgb1,0.29382058426049723,0.028432291846870354,0.2975258008873658,0.29713804713804715,0.23000959169163082,0.2970521541950113,0.7133333333333335,0.042687494916218996,30.333333333333332,1.0540925533894598,27.11111111111111,3.2222222222222223,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_A,A,HQ + A,raw_family,logistic,0.309528274907811,0.02976550663265301,0.31648289884791464,0.2937710437710438,0.2263631977568966,0.30309901738473166,0.25777777777777783,0.031894889098682946,34.0,0.0,29.0,5.0,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_A,A,HQ + A,raw_family,xgb1,0.29687493728890624,0.03350726230846362,0.3027595177824662,0.28030303030303033,0.2337275346677083,0.3038548752834467,0.726666666666667,0.024944382578492966,34.0,0.0,29.0,5.0,0.9733333333333333,1.0,0.9623703703703703,0.8890136144049189,0.6596742790221052,3.2222222222222223,5.0,5.0,4.666666666666667
reasoning_B,B,HQ + B,augmentation_track,logistic,0.20735684401598597,0.039721866720472995,0.232108295374559,0.17087542087542087,0.1683490717204865,0.20861678004535147,0.2244444444444445,0.042455495943428456,30.77777777777778,0.41573970964154905,29.0,1.7777777777777777,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_B,B,HQ + B,augmentation_track,xgb1,0.20519712295513487,0.039625872869186216,0.22925037536491924,0.1877104377104377,0.17123352197504013,0.21164021164021166,0.7122222222222223,0.0936634374031449,30.77777777777778,0.41573970964154905,29.0,1.7777777777777777,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_B,B,HQ + B,competition_track,logistic,0.2065750274932167,0.04030867507532578,0.23426881443431202,0.16582491582491582,0.16829452639925563,0.20861678004535147,0.23111111111111113,0.044081854277505286,29.11111111111111,0.5665577237325317,27.333333333333332,1.7777777777777777,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_B,B,HQ + B,competition_track,xgb1,0.1986876089153797,0.039031850390580485,0.2225582639371605,0.1877104377104377,0.17123304438156206,0.21164021164021166,0.7122222222222224,0.09806775183829436,29.11111111111111,0.5665577237325317,27.333333333333332,1.7777777777777777,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_B,B,HQ + B,raw_family,logistic,0.20671149132095748,0.03256448812314161,0.22703459290955216,0.18097643097643099,0.16843243733677052,0.20861678004535147,0.21777777777777782,0.046613726585340076,31.0,0.0,29.0,2.0,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_B,B,HQ + B,raw_family,xgb1,0.20916797708478338,0.036997611293992115,0.22930345738067637,0.19276094276094274,0.1711643924652552,0.2146636432350718,0.7011111111111112,0.08464887535440406,31.0,0.0,29.0,2.0,0.9888888888888887,0.9955555555555556,0.9781481481481481,0.9569202898550725,0.9364331723027376,1.7777777777777777,2.0,2.0,2.0
reasoning_C,C,HQ + C,augmentation_track,logistic,0.2220555947983134,0.05258020160026315,0.25264262309052427,0.16329966329966333,0.16749404818224914,0.2108843537414966,0.24444444444444446,0.050796130891833165,30.666666666666668,0.816496580927726,29.0,1.6666666666666667,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_C,C,HQ + C,augmentation_track,xgb1,0.2008300425639855,0.040998509384035854,0.22209332618884464,0.1893939393939394,0.17167223545081095,0.21315192743764175,0.7000000000000002,0.08781293248212996,30.666666666666668,0.816496580927726,29.0,1.6666666666666667,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_C,C,HQ + C,competition_track,logistic,0.22272599135357765,0.04856746457893036,0.2526953977031667,0.164983164983165,0.1675991196156717,0.2123960695389267,0.24000000000000002,0.04242640687119286,29.0,0.816496580927726,27.333333333333332,1.6666666666666667,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_C,C,HQ + C,competition_track,xgb1,0.21382060108751386,0.042744700613836346,0.23462049247647954,0.1893939393939394,0.17109544621123554,0.21012849584278157,0.7011111111111112,0.07519521918083838,29.0,0.816496580927726,27.333333333333332,1.6666666666666667,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_C,C,HQ + C,raw_family,logistic,0.21549791315657144,0.04670389135900774,0.24393136575943983,0.1632996632996633,0.16932523378604858,0.21541950113378686,0.24111111111111116,0.04954110402135101,32.0,0.0,29.0,3.0,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_C,C,HQ + C,raw_family,xgb1,0.20248145835647988,0.04121195680558506,0.22062118128415048,0.1936026936026936,0.17244936395094118,0.2139077853363568,0.6900000000000002,0.08082903768654762,32.0,0.0,29.0,3.0,0.9525925925925924,0.9955555555555556,0.9138271604938271,0.852320025653359,0.6635137085137086,1.6666666666666667,3.0,3.0,2.2222222222222223
reasoning_D,D,HQ + D,augmentation_track,logistic,0.2134373589173285,0.039030078722329366,0.23868158782921883,0.17508417508417506,0.17445304228539085,0.22071050642479215,0.23444444444444448,0.05293835222031821,31.0,0.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_D,D,HQ + D,augmentation_track,xgb1,0.20641193412540754,0.04062486885448448,0.22995864391636342,0.1835016835016835,0.17681988495827497,0.2123960695389267,0.707777777777778,0.08560604570781434,31.0,0.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_D,D,HQ + D,competition_track,logistic,0.21362795494727996,0.03902822036014345,0.23690652421369032,0.17592592592592593,0.1744750144011976,0.21995464852607713,0.23333333333333334,0.054569018479149675,29.666666666666668,0.4714045207910317,27.666666666666668,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_D,D,HQ + D,competition_track,xgb1,0.21039949739699976,0.04341976851046961,0.23133413927509064,0.18181818181818182,0.1770311730971179,0.21693121693121695,0.7100000000000002,0.0783156008298049,29.666666666666668,0.4714045207910317,27.666666666666668,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_D,D,HQ + D,raw_family,logistic,0.2134373589173285,0.039030078722329366,0.23868158782921883,0.17508417508417506,0.17445304228539085,0.22071050642479215,0.23444444444444448,0.05293835222031821,31.0,0.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_D,D,HQ + D,raw_family,xgb1,0.20641193412540754,0.04062486885448448,0.22995864391636342,0.1835016835016835,0.17681988495827497,0.2123960695389267,0.707777777777778,0.08560604570781434,31.0,0.0,29.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0
reasoning_E,E,HQ + E,augmentation_track,logistic,0.20923954874391343,0.04745633781066929,0.236383287809361,0.15993265993265995,0.16671061902675566,0.21164021164021166,0.2333333333333334,0.04784233364802442,29.333333333333332,0.4714045207910317,29.0,0.3333333333333333,0.957037037037037,0.9866666666666666,0.9191975308641975,0.7143090323525105,0.5827660664617187,0.3333333333333333,3.0,3.0,2.888888888888889
reasoning_E,E,HQ + E,augmentation_track,xgb1,0.1928393514653074,0.0417129348972673,0.21948162005634902,0.1717171717171717,0.17053001612076815,0.21315192743764172,0.7200000000000002,0.08919392106839769,29.333333333333332,0.4714045207910317,29.0,0.3333333333333333,0.957037037037037,0.9866666666666666,0.9191975308641975,0.7143090323525105,0.5827660664617187,0.3333333333333333,3.0,3.0,2.888888888888889
