epoch,train_loss,test_loss
1,0.526046633720398,0.5273809432983398
5,0.47674560546875,0.4789870083332062
10,0.43233734369277954,0.43391019105911255
15,0.40324047207832336,0.40299418568611145
20,0.38573676347732544,0.38383734226226807
25,0.3751317858695984,0.37325191497802734
30,0.36840417981147766,0.36612629890441895
35,0.3633236885070801,0.3597223460674286
40,0.35897380113601685,0.355252742767334
45,0.35502442717552185,0.3508721888065338
50,0.3514290750026703,0.34688642621040344
55,0.34824538230895996,0.34386971592903137
60,0.34549275040626526,0.3408902883529663
65,0.3431043326854706,0.33862969279289246
70,0.3409688472747803,0.3364242613315582
75,0.338987797498703,0.33441534638404846
80,0.33710670471191406,0.33251404762268066
85,0.3353094756603241,0.33064004778862
90,0.3335956335067749,0.3289277255535126
95,0.3319636583328247,0.327248215675354
100,0.33040741086006165,0.32571715116500854
105,0.32891982793807983,0.32422587275505066
110,0.32749617099761963,0.3228452503681183
115,0.3261338174343109,0.3215046525001526
120,0.32483091950416565,0.3202442526817322
125,0.3235853910446167,0.31902119517326355
130,0.32239431142807007,0.3178570866584778
135,0.32125502824783325,0.3167293667793274
140,0.32016491889953613,0.3156491816043854
145,0.31912142038345337,0.314607173204422
150,0.3181222081184387,0.3136064410209656
155,0.317164808511734,0.312644362449646
160,0.31624701619148254,0.31171831488609314
165,0.31536665558815,0.31082841753959656
170,0.3145217001438141,0.3099701404571533
175,0.31371012330055237,0.30914410948753357
180,0.3129301369190216,0.3083467185497284
185,0.3121800124645233,0.3075779676437378
190,0.31145820021629333,0.30683597922325134
195,0.31076303124427795,0.3061196506023407
200,0.3100931942462921,0.30542826652526855
