epoch,train_loss,test_loss
1,0.5629661083221436,0.5590176582336426
5,0.5053819417953491,0.5107503533363342
10,0.45670628547668457,0.46326810121536255
15,0.42230725288391113,0.4270586371421814
20,0.39778900146484375,0.3994303345680237
25,0.38073739409446716,0.37925252318382263
30,0.3702930212020874,0.36657533049583435
35,0.3627415895462036,0.35824668407440186
40,0.3562784194946289,0.35271376371383667
45,0.351571649312973,0.34799128770828247
50,0.3472446799278259,0.34270569682121277
55,0.3437334895133972,0.3385043442249298
60,0.3407340347766876,0.3356737196445465
65,0.33823463320732117,0.3335626423358917
70,0.33612388372421265,0.3313221037387848
75,0.3342655599117279,0.3291908800601959
80,0.3325836956501007,0.3275057077407837
85,0.33100882172584534,0.3260427415370941
90,0.3295254707336426,0.324485182762146
95,0.3281167149543762,0.322952002286911
100,0.3267759680747986,0.3216252028942108
105,0.3254931569099426,0.3204019069671631
110,0.3242607116699219,0.3191657066345215
115,0.3230740427970886,0.31799060106277466
120,0.32193002104759216,0.31691494584083557
125,0.32082754373550415,0.3158687353134155
130,0.3197649419307709,0.3148360848426819
135,0.3187409043312073,0.3138556480407715
140,0.31775403022766113,0.3129158318042755
145,0.316802978515625,0.3119928538799286
150,0.31588658690452576,0.3111012876033783
155,0.3150036036968231,0.31024789810180664
160,0.3141527771949768,0.3094196021556854
165,0.3133329451084137,0.30861732363700867
170,0.31254276633262634,0.3078464865684509
175,0.3117811381816864,0.307101309299469
180,0.3110468089580536,0.3063790202140808
185,0.31033867597579956,0.3056822121143341
190,0.3096555173397064,0.30500850081443787
195,0.30899640917778015,0.30435580015182495
200,0.30836015939712524,0.30372482538223267
