epoch,train_loss,test_loss
1,0.563524603843689,0.5468935370445251
5,0.49711689352989197,0.49432069063186646
10,0.4544704854488373,0.4602014422416687
15,0.42909035086631775,0.4355141818523407
20,0.40901169180870056,0.4128696322441101
25,0.3918974697589874,0.39218854904174805
30,0.3785058557987213,0.37558412551879883
35,0.37023109197616577,0.3650588095188141
40,0.3642407953739166,0.35793930292129517
45,0.3580296039581299,0.3526917099952698
50,0.3537037670612335,0.34912365674972534
55,0.350067675113678,0.3450401723384857
60,0.3468126058578491,0.34096553921699524
65,0.3442983329296112,0.33798372745513916
70,0.3420540392398834,0.335915744304657
75,0.34008410573005676,0.33428025245666504
80,0.3383219540119171,0.3324818015098572
85,0.33665600419044495,0.3305659592151642
90,0.3351060748100281,0.32889217138290405
95,0.333623468875885,0.32750174403190613
100,0.3322112560272217,0.32619723677635193
105,0.3308548927307129,0.3248395323753357
110,0.32954809069633484,0.32351821660995483
115,0.3282874822616577,0.3223259150981903
120,0.3270692229270935,0.32121795415878296
125,0.32589295506477356,0.3201160132884979
130,0.32475656270980835,0.31902551651000977
135,0.3236592710018158,0.3179892897605896
140,0.32259970903396606,0.3170035779476166
145,0.3215767741203308,0.316038578748703
150,0.3205893337726593,0.31509193778038025
155,0.3196362257003784,0.31418082118034363
160,0.3187163174152374,0.31330594420433044
165,0.31782838702201843,0.31245553493499756
170,0.3169712424278259,0.31162798404693604
175,0.316143661737442,0.31082868576049805
180,0.31534454226493835,0.3100566565990448
185,0.31457266211509705,0.30930688977241516
190,0.31382691860198975,0.308578759431839
195,0.3131062090396881,0.3078739643096924
200,0.31240949034690857,0.30719122290611267
