family_id,family_label,family_display_label,requested_n_components,actual_n_components,component_index,component_name,original_feature,weight_mean,weight_std,abs_weight_mean,weight_sign_flip_rate,loading_mean,loading_std,abs_loading_mean,loading_sign_flip_rate
reasoning_A,A,HQ + A,2,2,1,A_pls_1,A_career_coherence,0.30194122920272837,0.06477655598413555,0.30194122920272837,0.0,0.8013491591220566,0.13607520232097314,0.8013491591220566,0.0
reasoning_A,A,HQ + A,2,2,1,A_pls_1,A_evidence_support_rating,0.8394511695730159,0.03269716404379891,0.8394511695730159,0.0,0.9290597327771636,0.11905795864863293,0.9290597327771636,0.0
reasoning_A,A,HQ + A,2,2,1,A_pls_1,A_ownership_signal,-0.25403203552382975,0.08975785457415068,0.25403203552382975,0.0,0.29112028586398103,0.2599829853593068,0.369906221013309,0.10416666666666667
reasoning_A,A,HQ + A,2,2,1,A_pls_1,A_scrappiness,-0.30673268092831746,0.08225176889540795,0.30673268092831746,0.0,0.29741402330344296,0.25060201752841577,0.36947110282565515,0.10416666666666667
reasoning_A,A,HQ + A,2,2,1,A_pls_1,A_trajectory_strength,0.13991427919037505,0.07663600446899631,0.14530507993846628,0.08333333333333333,0.6732937412131371,0.17917545471948595,0.6790769506028234,0.020833333333333332
reasoning_A,A,HQ + A,2,2,2,A_pls_2,A_career_coherence,0.4428213511445023,0.11956503589519982,0.4467877556886786,0.020833333333333332,0.31850346398602003,0.0798305848496446,0.31850346398602003,0.0
reasoning_A,A,HQ + A,2,2,2,A_pls_2,A_evidence_support_rating,0.08675821282127011,0.14259209811040463,0.12965989061712646,0.1875,0.18377726725314392,0.1835783546789433,0.21939248339717635,0.0625
reasoning_A,A,HQ + A,2,2,2,A_pls_2,A_ownership_signal,0.4704054220148752,0.1559531071441346,0.48978870553417747,0.020833333333333332,0.5700545671133063,0.1830104334936884,0.5972070198436644,0.020833333333333332
reasoning_A,A,HQ + A,2,2,2,A_pls_2,A_scrappiness,0.5252192865051398,0.12186209547055206,0.5330474624464688,0.020833333333333332,0.5634991650732472,0.17701545938808222,0.589234647480685,0.020833333333333332
reasoning_A,A,HQ + A,2,2,2,A_pls_2,A_trajectory_strength,0.47132764692806833,0.05740998649513372,0.47132764692806833,0.0,0.4290323862924577,0.07441862600368185,0.4290323862924577,0.0
reasoning_A,A,HQ + A,3,3,1,A_pls_1,A_career_coherence,0.30194122920272837,0.06477655598413555,0.30194122920272837,0.0,0.8013491591220566,0.13607520232097314,0.8013491591220566,0.0
reasoning_A,A,HQ + A,3,3,1,A_pls_1,A_evidence_support_rating,0.8394511695730159,0.03269716404379891,0.8394511695730159,0.0,0.9290597327771636,0.11905795864863293,0.9290597327771636,0.0
reasoning_A,A,HQ + A,3,3,1,A_pls_1,A_ownership_signal,-0.25403203552382975,0.08975785457415068,0.25403203552382975,0.0,0.29112028586398103,0.2599829853593068,0.369906221013309,0.10416666666666667
reasoning_A,A,HQ + A,3,3,1,A_pls_1,A_scrappiness,-0.30673268092831746,0.08225176889540795,0.30673268092831746,0.0,0.29741402330344296,0.25060201752841577,0.36947110282565515,0.10416666666666667
reasoning_A,A,HQ + A,3,3,1,A_pls_1,A_trajectory_strength,0.13991427919037505,0.07663600446899631,0.14530507993846628,0.08333333333333333,0.6732937412131371,0.17917545471948595,0.6790769506028234,0.020833333333333332
reasoning_A,A,HQ + A,3,3,2,A_pls_2,A_career_coherence,0.4428213511445023,0.11956503589519982,0.4467877556886786,0.020833333333333332,0.31850346398602003,0.0798305848496446,0.31850346398602003,0.0
reasoning_A,A,HQ + A,3,3,2,A_pls_2,A_evidence_support_rating,0.08675821282127011,0.14259209811040463,0.12965989061712646,0.1875,0.18377726725314392,0.1835783546789433,0.21939248339717635,0.0625
reasoning_A,A,HQ + A,3,3,2,A_pls_2,A_ownership_signal,0.4704054220148752,0.1559531071441346,0.48978870553417747,0.020833333333333332,0.5700545671133063,0.1830104334936884,0.5972070198436644,0.020833333333333332
reasoning_A,A,HQ + A,3,3,2,A_pls_2,A_scrappiness,0.5252192865051398,0.12186209547055206,0.5330474624464688,0.020833333333333332,0.5634991650732472,0.17701545938808222,0.589234647480685,0.020833333333333332
reasoning_A,A,HQ + A,3,3,2,A_pls_2,A_trajectory_strength,0.47132764692806833,0.05740998649513372,0.47132764692806833,0.0,0.4290323862924577,0.07441862600368185,0.4290323862924577,0.0
reasoning_A,A,HQ + A,3,3,3,A_pls_3,A_career_coherence,0.5399728212594536,0.35172500295751996,0.6399469209026499,0.10416666666666667,0.5269036086330263,0.34804237646333214,0.6278872316640091,0.10416666666666667
reasoning_A,A,HQ + A,3,3,3,A_pls_3,A_evidence_support_rating,-0.3530977892419293,0.33973812521042884,0.4843878609101635,0.125,-0.37314102470324123,0.3544306438402332,0.5090206725071565,0.125
