unit_id,unit_label,unit_display_label,unit_kind,classification,raw_lr_cv_mean,raw_lr_cv_std,legacy_raw_test_f0_5,raw_xgb1_cv_mean,raw_xgb1_cv_std,pls_lr_cv_mean,pls_lr_cv_std,legacy_pls_test_f0_5
HQ,HQ,HQ,baseline,anchor_reference,0.23293949703310263,0.028056240882056587,0.264,0.21234801683628346,0.024515405910950014,0.2312792213947364,0.02818875726701794,
combo_D_E_F,D+E+F,HQ + D+E+F,legacy_combo,transform_sensitive,0.2572191404007695,0.03585662189729002,,0.23913111516927618,0.024648862797040757,0.2673465168583322,0.05091315180618279,0.274
reasoning_F,F,HQ + F,atomic_family,transform_sensitive,0.24402616612788783,0.030934111125677816,,0.21727298067407244,0.01502140386330171,0.2490823104939297,0.03616518273860745,0.271
combo_A_B_C_D_E_F,A+B+C+D+E+F,HQ + A+B+C+D+E+F,legacy_combo,raw_fail,0.33174832729922665,0.0252501262908934,,0.31880967973020746,0.04520708257220751,0.33347593649020923,0.0370778268346405,0.225
combo_A_C,A+C,HQ + A+C,legacy_combo,raw_fail,0.31618880086420476,0.012503969700761324,0.242,0.3173331918559422,0.04903985008183285,0.3263331828474937,0.03615718250866909,
combo_C_D_E_F,C+D+E+F,HQ + C+D+E+F,legacy_combo,raw_fail,0.268705279574263,0.03488884561828752,,0.22998107962654313,0.018042896070773366,0.27063844037257023,0.044064767256508784,
engineered_set_05,Engineered Set 05,HQ + Engineered Set 05,atomic_family,raw_fail,0.2520885249539955,0.04851621452785068,,0.2454736775778305,0.0367112406474319,0.2498062331409689,0.05956971323372433,
reasoning_A,A,HQ + A,atomic_family,raw_fail,0.30706164760400745,0.03343021552582792,0.24,0.3166504866977304,0.05061194124732346,0.31204598731661554,0.03587868721760925,0.233
reasoning_B,B,HQ + B,atomic_family,raw_fail,0.2254625482537155,0.042515989124989946,,0.2146665000870244,0.03069210245031579,0.22611295740828705,0.03309737862314549,
reasoning_C,C,HQ + C,atomic_family,raw_fail,0.24251574438216675,0.028632726894854646,,0.2093927023030691,0.01632332149552372,0.23159266568190345,0.05699762332561811,
reasoning_D,D,HQ + D,atomic_family,raw_fail,0.2409335685318006,0.04027024339020862,,0.221031559861599,0.018889074670364606,0.23803449858157122,0.04985386913171848,
reasoning_E,E,HQ + E,atomic_family,no_reproducible_evidence,0.22946410745929788,0.026010337020097127,,0.21216826375851525,0.040483348259804146,0.22792781247271918,0.03473612406694117,
