track,feature_set_id,feature_set_label,route_group,grouping_spec_id,grouping_spec_label,evaluator_model,outer_split_id,repeat_index,fold_index,precision,recall,pr_auc,f0_5,threshold,original_feature_count,grouped_feature_count,final_model_feature_count
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_01_fold_01,1,1,0.225,0.20454545454545456,0.1728398426927734,0.22058823529411764,0.18000000000000005,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_01_fold_01,1,1,0.25,0.14393939393939395,0.18770920225599613,0.21788990825688073,0.7200000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_01_fold_02,1,2,0.2571428571428571,0.20454545454545456,0.16969644952860535,0.24456521739130435,0.23000000000000004,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_01_fold_02,1,2,0.22535211267605634,0.24242424242424243,0.17783624774423024,0.22857142857142856,0.6800000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_01_fold_03,1,3,0.1836734693877551,0.06818181818181818,0.15503518378913772,0.13719512195121952,0.27,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_01_fold_03,1,3,0.20930232558139536,0.06818181818181818,0.15466675842940847,0.14802631578947367,0.7900000000000001,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_02_fold_01,2,1,0.29347826086956524,0.20454545454545456,0.18873435116058512,0.27,0.21000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_02_fold_01,2,1,0.31666666666666665,0.14393939393939395,0.18978141068365492,0.2553763440860215,0.7600000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_02_fold_02,2,2,0.175,0.05303030303030303,0.15421679000113267,0.11986301369863013,0.32000000000000006,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_02_fold_02,2,2,0.1794871794871795,0.05303030303030303,0.1550634356355553,0.12152777777777778,0.8600000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_02_fold_03,2,3,0.3064516129032258,0.14393939393939395,0.15622766773276062,0.25,0.31000000000000005,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_02_fold_03,2,3,0.16033755274261605,0.2878787878787879,0.1681190044886895,0.17592592592592593,0.5900000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_03_fold_01,3,1,0.21839080459770116,0.14393939393939395,0.1483702428063503,0.19791666666666666,0.21000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_03_fold_01,3,1,0.2222222222222222,0.07575757575757576,0.1550557125069846,0.16025641025641027,0.8200000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_03_fold_02,3,2,0.18681318681318682,0.25757575757575757,0.1641861568477814,0.19767441860465115,0.16000000000000003,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_03_fold_02,3,2,0.17842323651452283,0.32575757575757575,0.15924567029702213,0.19616788321167883,0.5900000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_03_fold_03,3,3,0.30303030303030304,0.15151515151515152,0.19171045884650875,0.25252525252525254,0.24000000000000005,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_03_fold_03,3,3,0.22962962962962963,0.23484848484848486,0.19023428032099934,0.23065476190476192,0.6500000000000001,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_04_fold_01,4,1,0.20454545454545456,0.13636363636363635,0.1524930374123935,0.1859504132231405,0.23000000000000004,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_04_fold_01,4,1,0.17543859649122806,0.15151515151515152,0.1541879072493822,0.17006802721088435,0.7100000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_04_fold_02,4,2,0.24,0.22727272727272727,0.17560776426082808,0.23734177215189872,0.18000000000000005,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_04_fold_02,4,2,0.27956989247311825,0.19696969696969696,0.18220399469798215,0.25793650793650796,0.7000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_04_fold_03,4,3,0.2872340425531915,0.20454545454545456,0.1753235717980437,0.265748031496063,0.2,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_04_fold_03,4,3,0.3050847457627119,0.13636363636363635,0.17551888131731447,0.24456521739130435,0.7600000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_05_fold_01,5,1,0.2653061224489796,0.09848484848484848,0.19464382152919,0.19817073170731708,0.27,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_05_fold_01,5,1,0.24761904761904763,0.19696969696969696,0.17917238252847284,0.23550724637681159,0.6800000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_05_fold_02,5,2,0.2857142857142857,0.10606060606060606,0.16084907781188504,0.21341463414634146,0.29000000000000004,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_05_fold_02,5,2,0.18518518518518517,0.30303030303030304,0.16954560705232138,0.20080321285140562,0.6100000000000001,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_05_fold_03,5,3,0.19298245614035087,0.16666666666666666,0.16345715697141716,0.1870748299319728,0.21000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_05_fold_03,5,3,0.19327731092436976,0.17424242424242425,0.15647907641529993,0.18914473684210525,0.6900000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_06_fold_01,6,1,0.27906976744186046,0.18181818181818182,0.17896195163438247,0.25210084033613445,0.21000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_06_fold_01,6,1,0.20502092050209206,0.3712121212121212,0.19000248229786973,0.22518382352941177,0.5800000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_06_fold_02,6,2,0.23809523809523808,0.15151515151515152,0.16986567182165585,0.21367521367521367,0.21000000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_06_fold_02,6,2,0.25862068965517243,0.11363636363636363,0.1745200120877131,0.20604395604395603,0.7600000000000002,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_06_fold_03,6,3,0.18181818181818182,0.15151515151515152,0.1521967929353381,0.17482517482517482,0.19,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_06_fold_03,6,3,0.1870967741935484,0.2196969696969697,0.14926490674339601,0.19281914893617022,0.6400000000000001,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,logistic,repeat_07_fold_01,7,1,0.23333333333333334,0.21212121212121213,0.16328984710776345,0.22875816993464052,0.17000000000000004,29,29,29
benchmark,hq_benchmark,HQ,hq_benchmark,frozen_hq,Frozen HQ benchmark,xgb1,repeat_07_fold_01,7,1,0.22580645161290322,0.10606060606060606,0.1658178233883879,0.18421052631578946,0.7400000000000002,29,29,29
