track,feature_set_id,feature_set_label,route_group,grouping_spec_id,grouping_spec_label,evaluator_model,original_feature_count,grouped_feature_count,final_model_feature_count,outer_split_count,outer_f0_5_mean,outer_f0_5_std,precision_mean,precision_std,recall_mean,recall_std,pr_auc_mean,pr_auc_std,threshold_mean,threshold_std
augmentation,hq_plus_a,HQ + A,grouped_route,per_family_2,2 groups per family,logistic,5,2,31,48,0.283371961371085,0.038898780471799344,0.29594362446799166,0.036666201639993,0.25457702020202017,0.06939402870355434,0.21670090447116364,0.02073853592780921,0.2604166666666667,0.04636622034292734
augmentation,hq_plus_a,HQ + A,grouped_route,per_family_2,2 groups per family,xgb1,5,2,31,48,0.30198193895969405,0.02866994528781774,0.30649495315313463,0.0324251514964582,0.29955808080808083,0.0699982224164668,0.23142297266128664,0.020460667962240494,0.7162500000000002,0.04065223446093299
augmentation,hq_plus_a,HQ + A,grouped_route,per_family_3,3 groups per family,logistic,5,3,32,48,0.3008660451360791,0.03773891106934914,0.3131793776472041,0.03620588217153762,0.26783459595959597,0.058772972362437004,0.2262249933683115,0.020434238309280605,0.27125000000000005,0.03935019059674299
augmentation,hq_plus_a,HQ + A,grouped_route,per_family_3,3 groups per family,xgb1,5,3,32,48,0.30754647789727757,0.03117517926851329,0.309552296222398,0.03811577438278307,0.3142361111111111,0.06627867149860764,0.23478346770760714,0.020234946373370914,0.7070833333333336,0.042079207718566006
augmentation,hq_plus_a,HQ + A,raw_comparison,per_family_2,2 groups per family,logistic,5,5,34,48,0.3016408657217324,0.0352495156168288,0.3121022919637131,0.03639174506667475,0.27320075757575757,0.05463845558700641,0.22582390035965028,0.019902113235739243,0.2685416666666667,0.03384951891172983
augmentation,hq_plus_a,HQ + A,raw_comparison,per_family_2,2 groups per family,xgb1,5,5,34,48,0.2981191499234462,0.03327367363210374,0.3006081478563131,0.03411567466216025,0.30303030303030304,0.07258179367994835,0.23429335134443321,0.019969470052298693,0.7112500000000002,0.041110876500832096
augmentation,hq_plus_a,HQ + A,raw_comparison,per_family_3,3 groups per family,logistic,5,5,34,48,0.3016408657217324,0.0352495156168288,0.3121022919637131,0.03639174506667475,0.27320075757575757,0.05463845558700641,0.22582390035965028,0.019902113235739243,0.2685416666666667,0.03384951891172983
augmentation,hq_plus_a,HQ + A,raw_comparison,per_family_3,3 groups per family,xgb1,5,5,34,48,0.2981191499234462,0.03327367363210374,0.3006081478563131,0.03411567466216025,0.30303030303030304,0.07258179367994835,0.23429335134443321,0.019969470052298693,0.7112500000000002,0.041110876500832096
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,per_family_2,2 groups per family,logistic,15,10,39,48,0.3180988180203877,0.03142972340100673,0.33445154961374923,0.038779397300691174,0.27335858585858586,0.04285030612286192,0.22953296561687206,0.02188551603689875,0.28520833333333334,0.03576483278150324
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,per_family_2,2 groups per family,xgb1,15,10,39,48,0.29838777950622514,0.03341088445052759,0.30242192198310813,0.0321333376241617,0.29419191919191917,0.06804723904883404,0.2312970517938143,0.02087685587878109,0.7133333333333335,0.03842380627799503
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,per_family_3,3 groups per family,logistic,15,13,42,48,0.3061022342732656,0.030816322399518113,0.31276951699544236,0.030031795132332093,0.29087752525252525,0.06006584488968334,0.23452999984574355,0.02175782419009595,0.27062500000000006,0.04120104418175184
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,grouped_route,per_family_3,3 groups per family,xgb1,15,13,42,48,0.30406190497925495,0.029080281639658177,0.30903014591850847,0.03189132384511183,0.2984532828282828,0.06884045624423325,0.23488615795555332,0.02066019516742796,0.7127083333333335,0.039303285662764774
augmentation,hq_plus_a_b_c_d_e,HQ + A+B+C+D+E,raw_comparison,per_family_2,2 groups per family,logistic,15,15,44,48,0.30419426791612975,0.031190207076179668,0.308971541764888,0.029837481991074288,0.29640151515151514,0.06294084272100561,0.23422184569804916,0.021077072738499437,0.268125,0.04437793417529332
